pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,,,,,33,3,135,0,865.923285300014,,865.9106183000113,865.923285300014,866.9228201000078,866.9228201000078,866.9228201000078,866.9228201000078,866.9228201000078,867.9228663000104,867.9228663000104,868.574136700001,z,1,0.6470473999943351,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,34,0,136,3,868.5894161000033,,868.5754636000056,868.5894161000033,869.5893156000093,869.5893156000093,869.5893156000093,869.5893156000093,869.5893156000093,870.589126100007,870.589126100007,871.1408211000089,v,1,0.549028499997803,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,34,1,137,3,871.1554784000036,,871.1423465000116,871.1554784000036,872.1555205000041,872.1555205000041,872.1555205000041,872.1555205000041,872.1555205000041,873.155001200008,873.155001200008,873.7734621000127,v,1,0.6025062999979127,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,34,2,138,2,873.788672300012,,873.7752431000117,873.788672300012,874.7882491000055,874.7882491000055,874.7882491000055,874.7882491000055,874.7882491000055,875.7880075000139,875.7880075000139,878.4897666000033,c,1,2.68573660000402,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,34,3,139,1,878.5041519000079,,878.4916322000063,878.5041519000079,879.503887800005,879.503887800005,879.503887800005,879.503887800005,879.503887800005,880.5034279000101,880.5034279000101,881.1551868000097,x,1,0.6396259999892209,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,35,0,140,0,881.1701615000056,,881.156751100003,881.1701615000056,882.1698239000107,882.1698239000107,882.1698239000107,882.1698239000107,882.1698239000107,883.1695781000017,883.1695781000017,883.7377785000135,z,1,0.5660490000009304,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,35,1,141,0,883.7528620000085,,883.7390137000039,883.7528620000085,884.7527811000036,884.7527811000036,884.7527811000036,884.7527811000036,884.7527811000036,885.7527129000082,885.7527129000082,887.488024700011,z,1,1.7176384000049438,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,35,2,142,3,887.5021213,,887.4899551000126,887.5021213,888.5019276000094,888.5019276000094,888.5019276000094,888.5019276000094,888.5019276000094,889.5013023000065,889.5013023000065,889.9693294000026,v,1,0.46175609999045264,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,35,3,143,3,889.9849907000025,,889.9705914000078,889.9849907000025,890.9847465000057,890.9847465000057,890.9847465000057,890.9847465000057,890.9847465000057,891.9845514000044,891.9845514000044,893.2351976000064,v,1,1.246176300002844,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,36,0,144,2,893.2508836000052,,893.236381900002,893.2508836000052,894.2504488000122,894.2504488000122,894.2504488000122,894.2504488000122,894.2504488000122,895.2507203000132,895.2507203000132,896.3186080000014,c,1,1.0521762999997009,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,36,1,145,0,896.3335885000124,,896.3205436000135,896.3335885000124,897.3333085000049,897.3333085000049,897.3333085000049,897.3333085000049,897.3333085000049,898.3331937000039,898.3331937000039,899.4341753000044,z,1,1.0940450999914901,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,36,2,146,2,899.4494448000041,,899.4354680000106,899.4494448000041,900.4494928000058,900.4494928000058,900.4494928000058,900.4494928000058,900.4494928000058,901.449066000001,901.449066000001,902.4000969000044,c,1,0.9484958000102779,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,36,3,147,2,902.415373300013,,902.401259300008,902.415373300013,903.4148596000014,903.4148596000014,903.4148596000014,903.4148596000014,903.4148596000014,904.4149451000121,904.4149451000121,906.4652034000028,c,1,2.034762600000249,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,37,0,148,2,906.4812032000045,,906.4659195000131,906.4812032000045,907.4642040000035,907.4642040000035,907.4642040000035,907.4642040000035,907.4813669000141,908.4811272000079,908.4811272000079,909.3154364000075,c,1,0.8317815000045812,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,37,1,149,0,909.3308990000078,,909.3167664000066,909.3308990000078,910.3307920000079,910.3307920000079,910.3307920000079,910.3307920000079,910.3307920000079,911.3302320000075,911.3302320000075,912.1150056000042,z,1,0.7791231000010157,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,37,2,150,1,912.1302841000143,,912.1163345000095,912.1302841000143,913.1301156000118,913.1301156000118,913.1301156000118,913.1301156000118,913.1301156000118,914.1293747000018,914.1293747000018,914.9811265000026,x,1,0.8397724000096787,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,37,3,151,3,914.9961683000001,,914.9825314000045,914.9961683000001,915.9956223000045,915.9956223000045,915.9956223000045,915.9956223000045,915.9956223000045,916.9957589000114,916.9957589000114,918.1967613000015,v,1,1.1944619999994757,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
